+---------------+----------------+----------------------+---------------------+------------------------+--------------------------+
|   First term  |  Second term   |        Target        |     Wup Distance    | Shortest Path Distance | Leakcock & Chod Distance |
|     Mexico    |     Brazil     |        0.744         |  0.7777777777777778 |           0            |            0             |
|     gender    |    equality    |        0.641         | 0.36363636363636365 |           0            |            0             |
|     change    |    attitude    |        0.544         | 0.47058823529411764 |         0.875          |     0.55995723371683     |
|     family    |    planning    |        0.625         | 0.18181818181818182 |         0.725          |   0.34763945821611003    |
|     opera     |    industry    |        0.263         | 0.16666666666666666 |          0.75          |    0.3733048224778867    |
|     sugar     |    approach    |        0.088         | 0.16666666666666666 |          0.75          |    0.3733048224778867    |
|    practice   |  institution   |        0.319         |         0.8         |         0.825          |   0.46935114594543464    |
|    ministry   |    culture     | 0.46900000000000003  | 0.46153846153846156 |          0.7           |    0.3242088163902064    |
|    problem    |   challenge    |        0.675         |  0.5454545454545454 |          0.85          |    0.5108612276291497    |
|      size     |   prominence   |  0.5309999999999999  |  0.5454545454545454 |         0.875          |     0.55995723371683     |
|    country    |    citizen     |        0.731         |         0.4         |          0.8           |   0.43339347763417224    |
|     planet    |     people     |        0.575         |         0.25        |           0            |            0             |
|  development  |     issue      |        0.397         |  0.7142857142857143 |         0.925          |    0.697513638868093     |
|   experience  |     music      | 0.34700000000000003  |  0.5454545454545454 |         0.875          |     0.55995723371683     |
|     music     |    project     |        0.363         |  0.7692307692307693 |         0.925          |    0.697513638868093     |
|     glass     |     metal      |  0.5559999999999999  |  0.4444444444444444 |         0.875          |     0.55995723371683     |
|    aluminum   |     metal      |        0.783         |  0.9090909090909091 |           0            |            0             |
|     chance    |  credibility   |        0.388         |         0.4         |         0.875          |     0.55995723371683     |
|    exhibit    |  memorabilia   |  0.5309999999999999  |  0.3333333333333333 |          0.8           |   0.43339347763417224    |
|    concert    |    virtuoso    |  0.6809999999999999  | 0.16666666666666666 |           0            |            0             |
|      rock     |      jazz      |        0.759         |  0.8333333333333334 |         0.975          |    0.9933507113510024    |
|     museum    |    theater     |  0.7190000000000001  |  0.5714285714285714 |          0.85          |    0.5108612276291497    |
|  observation  |  architecture  |        0.438         |  0.6666666666666666 |         0.875          |     0.55995723371683     |
|     space     |     world      |        0.653         |         0.6         |          0.9           |    0.6200458888731156    |
|  preservation |     world      |        0.619         |  0.5333333333333333 |          0.85          |    0.5108612276291497    |
|   admission   |     ticket     |        0.769         |         0.5         |         0.775          |   0.40167656638518373    |
|     shower    |  thunderstorm  |        0.631         |  0.6666666666666666 |         0.675          |   0.30265471531561156    |
|     shower    |     flood      |        0.603         |  0.6666666666666666 |          0.9           |    0.6200458888731156    |
|    weather    |    forecast    |        0.834         | 0.15384615384615385 |           0            |            0             |
|    disaster   |      area      |        0.625         | 0.42857142857142855 |           0            |            0             |
|    governor   |     office     |        0.634         | 0.47058823529411764 |           0            |            0             |
|  architecture |    century     |        0.378         | 0.18181818181818182 |         0.725          |   0.34763945821611003    |
+---------------+----------------+----------------------+---------------------+------------------------+--------------------------+
